Titolo,Autore,Compositore,Performer,Durata
2 HELL AND BACK,rodney atkins,,if you're going through hell,INTERMEDIO
3 FLICKS,ann tayler,,1 2 3,AVANZATO 2
A BAR SONG,shaboozey,,a bar song (tipsy),INTERMEDIO
ANGELO,ANGELO 3,,ANGELO 2,
LIQUOR TALKING,don luis,,liquor talkin',SUPER AVANZATO 1+2
ONE MORE,ceol,,one more for the road,SUPER AVANZATO 3
