"rootPath","scannedAt","relativePath","fileName","baseName","fullPath","extension","size","modifiedAt"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(CUT A RUG) Roxanne's Bayou.mp4","(CUT A RUG) Roxanne's Bayou.mp4","(CUT A RUG) Roxanne's Bayou","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(CUT A RUG) Roxanne's Bayou.mp4",".mp4","7308501","2025-03-03T19:20:16.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(DARK SIDE) Hell if i know - Chase Bryant 1.mp3","(DARK SIDE) Hell if i know - Chase Bryant 1.mp3","(DARK SIDE) Hell if i know - Chase Bryant 1","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(DARK SIDE) Hell if i know - Chase Bryant 1.mp3",".mp3","4734119","2025-03-03T19:20:22.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(ELECTRIC SLIDE) rascal_flatts-jingle_bell_rock copia.mp3","(ELECTRIC SLIDE) rascal_flatts-jingle_bell_rock copia.mp3","(ELECTRIC SLIDE) rascal_flatts-jingle_bell_rock copia","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(ELECTRIC SLIDE) rascal_flatts-jingle_bell_rock copia.mp3",".mp3","5028217","2025-03-03T19:20:22.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(GO CAT GO) - Please mama please go cat go.mp3","(GO CAT GO) - Please mama please go cat go.mp3","(GO CAT GO) - Please mama please go cat go","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(GO CAT GO) - Please mama please go cat go.mp3",".mp3","5078251","2025-03-03T19:20:28.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(HEYDAY TONIGHT) Aaron Watson - Heyday Tonight.mp3","(HEYDAY TONIGHT) Aaron Watson - Heyday Tonight.mp3","(HEYDAY TONIGHT) Aaron Watson - Heyday Tonight","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(HEYDAY TONIGHT) Aaron Watson - Heyday Tonight.mp3",".mp3","2756856","2025-03-03T19:20:30.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(IRISH STEW) American Land.mp4","(IRISH STEW) American Land.mp4","(IRISH STEW) American Land","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(IRISH STEW) American Land.mp4",".mp4","9639075","2025-03-03T19:20:30.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(P3) Take It or Break It.mp4","(P3) Take It or Break It.mp4","(P3) Take It or Break It","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(P3) Take It or Break It.mp4",".mp4","7246920","2025-03-03T19:20:32.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(PETER PAN)  When I Grow Up.mp4","(PETER PAN)  When I Grow Up.mp4","(PETER PAN)  When I Grow Up","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(PETER PAN)  When I Grow Up.mp4",".mp4","6990684","2025-03-03T19:20:32.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(REDNECK ANGEL) - Nickelback - If Today Was Your Last Day.mp3","(REDNECK ANGEL) - Nickelback - If Today Was Your Last Day.mp3","(REDNECK ANGEL) - Nickelback - If Today Was Your Last Day","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(REDNECK ANGEL) - Nickelback - If Today Was Your Last Day.mp3",".mp3","5999980","2025-03-03T19:20:32.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(REDNECK ANGEL) Brighter Than the Sun.mp4","(REDNECK ANGEL) Brighter Than the Sun.mp4","(REDNECK ANGEL) Brighter Than the Sun","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(REDNECK ANGEL) Brighter Than the Sun.mp4",".mp4","8157965","2025-03-03T18:20:32.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(REDNECK ANGEL) Merry Go Round (The JaneDear Girls).mp3","(REDNECK ANGEL) Merry Go Round (The JaneDear Girls).mp3","(REDNECK ANGEL) Merry Go Round (The JaneDear Girls)","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(REDNECK ANGEL) Merry Go Round (The JaneDear Girls).mp3",".mp3","3142650","2025-03-03T19:20:32.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(START THE CAR-DOUBLE DUTCH) - Limes.mp3","(START THE CAR-DOUBLE DUTCH) - Limes.mp3","(START THE CAR-DOUBLE DUTCH) - Limes","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(START THE CAR-DOUBLE DUTCH) - Limes.mp3",".mp3","9512729","2025-03-03T19:21:28.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(START THE CAR) Jimmy Wayne - Kerosene Kid-Start the car copia.mp3","(START THE CAR) Jimmy Wayne - Kerosene Kid-Start the car copia.mp3","(START THE CAR) Jimmy Wayne - Kerosene Kid-Start the car copia","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(START THE CAR) Jimmy Wayne - Kerosene Kid-Start the car copia.mp3",".mp3","5038851","2025-03-03T19:21:26.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(START THE CAR) Travis Tritt- Start The Car.mp3","(START THE CAR) Travis Tritt- Start The Car.mp3","(START THE CAR) Travis Tritt- Start The Car","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(START THE CAR) Travis Tritt- Start The Car.mp3",".mp3","4020361","2025-03-03T19:21:30.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(THREE TEACHERS) Head Over Heels Jeff Mix 4.mp3","(THREE TEACHERS) Head Over Heels Jeff Mix 4.mp3","(THREE TEACHERS) Head Over Heels Jeff Mix 4","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(THREE TEACHERS) Head Over Heels Jeff Mix 4.mp3",".mp3","4709851","2025-03-03T19:21:30.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(TUSH PUSH) Travis Tritt - T-R-O-U-B-L-E - 03 - T-R-O-U-B-L-E.mp3","(TUSH PUSH) Travis Tritt - T-R-O-U-B-L-E - 03 - T-R-O-U-B-L-E.mp3","(TUSH PUSH) Travis Tritt - T-R-O-U-B-L-E - 03 - T-R-O-U-B-L-E","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(TUSH PUSH) Travis Tritt - T-R-O-U-B-L-E - 03 - T-R-O-U-B-L-E.mp3",".mp3","7367780","2025-03-03T19:21:34.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(TUSH PUSH)- Santa Looked Alot Like Daddy.mp3","(TUSH PUSH)- Santa Looked Alot Like Daddy.mp3","(TUSH PUSH)- Santa Looked Alot Like Daddy","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(TUSH PUSH)- Santa Looked Alot Like Daddy.mp3",".mp3","6149806","2025-03-03T19:21:32.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(URBAN LIFE) Gotta Be Somebody.mp4","(URBAN LIFE) Gotta Be Somebody.mp4","(URBAN LIFE) Gotta Be Somebody","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(URBAN LIFE) Gotta Be Somebody.mp4",".mp4","8144776","2025-03-03T19:21:34.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(WALKING THE LINE) Crazy-ALEE.mp4","(WALKING THE LINE) Crazy-ALEE.mp4","(WALKING THE LINE) Crazy-ALEE","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(WALKING THE LINE) Crazy-ALEE.mp4",".mp4","9199659","2025-03-03T19:21:36.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(WALKING THE LINE) Walking the Line-Dave Sheriff.mp3","(WALKING THE LINE) Walking the Line-Dave Sheriff.mp3","(WALKING THE LINE) Walking the Line-Dave Sheriff","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(WALKING THE LINE) Walking the Line-Dave Sheriff.mp3",".mp3","3278551","2025-03-03T19:21:36.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(WESTERN STYLE) - Can't Get Myself Over.mp3","(WESTERN STYLE) - Can't Get Myself Over.mp3","(WESTERN STYLE) - Can't Get Myself Over","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(WESTERN STYLE) - Can't Get Myself Over.mp3",".mp3","6441400","2025-03-03T19:21:36.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\018 (AA) AA.mp4","018 (AA) AA.mp4","018 (AA) AA","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\018 (AA) AA.mp4",".mp4","6953808","2025-03-03T19:17:38.000Z"
