Colonna 1,Colonna 2,ID,coreografia,brano,autore,richieste,info livello,info coreo 1,info coreo 2,studiate,coreografo,collaboratori,descrizione coreo
,,056,BOOZE CRUISE,the booze cruise,blackjack billy,2,AVANZATO 1,,,,Donna Manning,,32 conteggi 2 muri
,,057,BORN FREE,born free,kid rock,4,ALTRE COREO
,,058,BORN TO BE GREAT,some town somewhere,kenny chesney,2,ALTRE COREO,,,,Teo Lattanzio
,,059,BORROW MY HEART,borrow my heart,taylor henderson,4,SUPER AVANZATO 1+2,,,,Teo Lattanzio
,,060,BRING DOWN THE HOUSE,bring down the house,dean brody,4,AVANZATO 1,,,,Sthépane Cormier,Denis Henley,32 conteggi 4 muri
,,061,BROKEN HEELS,broken heels,alexandra burke,4,AVANZATO 2,,,,Jo Kinser,Jhon Kinser Mark Fummel,64 conteggi 2 muri
,,062,BRUNCH,good people,josh grider,2,ALTRE COREO,,,,Pol F. Ryan,,Intro 32 counts A64c Tag8c Final 2 muri
,,063,BUDDY,one step forward,desert rose band,2,BASE,,,,Bruno Moggia,,32 conteggi 2 muri
,,064,BUILD A FIRE,build a fire,the wanderings hearts,4,AVANZATO 2,,,,Stefano Civa,,32 conteggi 2 muri 2 tag 1 restart 1 final
,,065,BURNIN' UP,i hope it's me,brett kissel,2,ALTRE COREO
,,066,BURNING LOVE,burning love,travis tritt,4,INTERMEDIO,,,,Christian Sildatke,,32 conteggi 4 muri
,,067,BURNING THE DAY,firefly,east love,2,ALTRE COREO,,,,Teo Lattanzio
,,068,BUSH PARTY,bush party,dean brody,4,INTERMEDIO,,,,Valentina Trigila,,32 conteggi 4 muri [2 Restart il 1° al 5° muro dopo 24 counts ed il 2° al 10° muro dopo 16 conteggi]
,,069,BY AND BY,by and by,the olson band,4,ALTRE COREO
,,070,CABO SAN LUCAS,all i want for christmas is a real good than,kenny chesney,6,INTERMEDIO,NATALIZIA,,,Reo Ghazali,,32 conteggi 4 muri
,,071,CABO SAN LUCAS,cabo san lucas,toby keith,6,INTERMEDIO,,,,Reo Ghazali,,32 conteggi 4 muri
,,072,CANDY KISSES,bottoms up,brantley gilbert,6,BASE,,,,Unknown,,24 conteggi 4 muri
,,073,CANDY KISSES,kick the dust up,luke bryan,6,BASE,,,,Unknown,,24 conteggi 4 muri
,,074,CANDY KISSES,sweet home alabama,lynyrd skynyrd,6,BASE,,,,Unknown,,24 conteggi 4 muri
,,075,CASTAWAY,castaway,zac brown band,4,ALTRE COREO,COPPIA,CERCHIO
,,076,CENTURION,my heart's broke down,dean miller,2,AVANZATO 1,,,,Rob Fowler,,[100 conteggi] 4 muri 1 restart 1 tag (3°muro restart dopo 48 counts) (4°muro tag di 98 conteggi dopo)
,,077,CHA CHA SLIDE,cha cha slide,dj casper,4,ALTRE COREO
,,078,CHANGING DANCE BARN DANCE,all over again,the mavericks,8,BASE,COPPIA,CERCHIO,,,,(couple and circle)
,,079,CHANGING DANCE BARN DANCE,dance the night away,the mavericks,8,BASE,COPPIA,CERCHIO,,,,(couple and circle)
,,080,CHANGING POLKA,oh suzanna,yamboo,2,ALTRE COREO,TRE PERSONE,,,Unknown
,,081,CHASING DOWN A GOOD TIME,chasing down a good time,randy houser,4,AVANZATO 1,,,,Dan Albro,,48 conteggi 4 muri [Al 3° muro Tag dopo 14 conteggi]
,,082,CHECK IN,stay in your line,hinterland,2,SUPER AVANZATO 3
,,083,CHECK IT OUT,check it out,on the larceny,4,ALTRE COREO
,,084,CHEEK TO CHEEK,bailando,enrique iglesias,8,ALTRE COREO,,,,Rob Fowler,,64 conteggi 2 muri
,,085,CHEEK TO CHEEK,stuck like glue,sugarland,8,AVANZATO 1,,,,Rob Fowler,,64 conteggi 2 muri
,,086,CHEERLEADER,cheerleader,omi,4,BASE,,,,Stefan Schutzer,,32 conteggi 4 muri [restart al 2° e 5° muro dopo 16 conteggi]
,,087,CHEYENNE,cadillac tears,kevin denney,24,BASE,,,,Unknown,,24 conteggi 4 muri
,,088,CHEYENNE,feels just liken a love song,sara evans,24,BASE,,,,Unknown,,24 conteggi 4 muri
,,089,CHEYENNE,i'm gonna getcha good,shania twain,24,BASE,,,,Unknown,,24 conteggi 4 muri
,,090,CHEYENNE,mamma mia,elena feat glance,24,BASE,,,,Unknown,,24 conteggi 4 muri
,,091,CHEYENNE,original ghostbusters theme song,ray parker jr,24,BASE,HALLOWEEN,,,Unknown,,24 conteggi 4 muri
,,092,CHEYENNE,santa's gonna take it all black,toby keith,24,BASE,NATALIZIA,,,Unknown,,24 conteggi 4 muri
,,093,CHEYENNE,the big one,george strait,24,BASE,,,,Unknown,,24 conteggi 4 muri
,,094,CHEYENNE,up,shania twain,24,BASE,,,,Unknown,,24 conteggi 4 muri
,,095,CHEYENNE,white christmas,giuliano palma,24,BASE,NATALIZIA,,,Unknown,,24 conteggi 4 muri
,,096,CHEYENNE'S ROCK,it's late,shakin' stevens,2,ALTRE COREO,,,,Séverine Fillion,,32 conteggi 2 muri
,,097,CHILL FACTOR,born it to the ground,nickelback,14,INTERMEDIO,,,,Daniel Whittaker,Hayley Westhead,48 conteggi 4 muri
,,098,CHILL FACTOR,calling all the monster,china anne mcclain,14,INTERMEDIO,HALLOWEEN,,,Daniel Whittaker,Hayley Westhead,48 conteggi 4 muri
,,099,CHILL FACTOR,last night (line dance party),madison cowboy & dj robbie,14,INTERMEDIO,,,,Daniel Whittaker,Hayley Westhead,48 conteggi 4 muri
,,100,CHILL FACTOR,last night (original version),chris handerson feat dj robbie,14,INTERMEDIO,,,,Daniel Whittaker,Hayley Westhead,48 conteggi 4 muri
,,101,CHILL FACTOR,rock on,hunter,14,INTERMEDIO,,,,Daniel Whittaker,Hayley Westhead,48 conteggi 4 muri
,,102,CHOO CHOO TRAIN,baby likes to rock it,the tractors,2,ALTRE COREO
,,103,CHOP,shut up and fish,maddie & tae,2,ALTRE COREO
,,104,CHOP CHOP,chop chop,bruno legrizzly,4,ALTRE COREO
,,105,CINNAMON AND BLUE,creekwater clear,charlie worsham with elle king,2,ALTRE COREO
,,106,CITY OF MUSIC,city of music,brad paisley,4,ALTRE COREO,,,,David Villelas,Séverine Fillion
,,107,CLICKETY CLACK,southbound train,travis tritt,2,AVANZATO 1,,,,Peter Metelnick,Kathy Hunyadi,68 conteggi 4 muri
,,108,COASTIN,lord of the dance,ronan hardiman,2,ALTRE COREO
,,109,COFFEE,why wouldn't wanna be me,keith urban,2,ALTRE COREO,,,,Algaly Fofana
,,110,COME MY WAY,come my way,raynes,4,SUPER AVANZATO 1+2
,,111,COME TO DANCE,carry me to back virginia,old crow medicine show,2,ALTRE COREO,CONTRA,,,Séverine Fillion,,32 conteggi 1 muro contra dance
,,112,COPPERHEAD ROAD,copperhead road,steve earle,4,BASE,STAGE,,,Unknown,,32 conteggi 4 muri
,,113,COTTON EYED JOE,cotton eye joe,rednex,4,ALTRE COREO,COPPIA
,,114,COUNTRY AS CAN BE,hooked on country music,djtexx,6,BASE,DJ WOLF,,,Suzanne Wilson,,32 conteggi 4 muri
,,115,COUNTRY AS CAN BE,christmas (baby please come home),lady antebellum,6,BASE,NATALIZIA,,,Suzanne Wilson,,32 conteggi 4 muri
,,116,COUNTRY AS CAN BE,country as a boy can be,brady seals,6,BASE,,,,Suzanne Wilson,,32 conteggi 4 muri
,,117,COUNTRY GIRL SHAKE,country girl (shake it for me),luke bryan,2,ALTRE COREO
,,118,COUNTRY ROADS,country roads,hermes house band,6,AVANZATO 2,,,,Kate Sala,,32 conteggi 4 muri 1 tag alla fine del 5° muro
,,119,COWBOY BIG UP,cowboy up,jill johnson,2,BASE,STAGE,,,Big Andrew Gragnaniello,,32 conteggi 4 muri
,,120,CASANOVA COWBOY,blue christmas,sheryl crow,12,INTERMEDIO,NATALIZIA,,,Rob Fowler,,32 conteggi 4 muri
,,121,CASANOVA COWBOY,cowboy casanova,carrie underwood,12,INTERMEDIO,,,,Rob Fowler,,32 conteggi 4 muri
,,122,CASANOVA COWBOY,must be a woman,gord bamford,12,INTERMEDIO,,,,Rob Fowler,,32 conteggi 4 muri
,,123,CASANOVA COWBOY,true blue,madonna,12,INTERMEDIO,,,,Rob Fowler,,32 conteggi 4 muri
,,124,COWBOY STRUT,my next broken heart,brooks & dunn,2,ALTRE COREO
,,125,COWBOY UP,bury the shovel,clay walker,4,SUPER AVANZATO 1+2
,,126,CRASH AND BURN,crush and burn,thomas rhett,2,BASE,,,,Gail Smith,,32 conteggi 4 muri
,,127,CRAZY SONG,what a song can do,lady a,2,INTERMEDIO,,,,Séverine Fillion,Brayan Bogey,32 conteggi 4 muri
,,128,CUPID SHUFFLE,down south shuffle,r3 feat big robb,2,ALTRE COREO
,,129,CUT A RUG,roxanne's bayou,billy yates,2,ALTRE COREO,CONTRA
,,130,CUT AND STRUT,suds in the bucket,sara evans,2,BASE,,,,Unknown,,32 conteggi 4 muri
,,131,DADDY'S MONEY,daddy's money,ricochet,4,ALTRE COREO,,,,Gianni Hook Valassi
,,132,DAMN!,damn (feat dave mustaine),brett kissel,2,ALTRE COREO
,,133,DANCE AGAIN,standin' still,the clark family experience,2,INTERMEDIO,,,,Adriano Castagnoli,,32 conteggi 4 muri (Restart al 4° muro dopo 28 conteggi)
,,134,DANCING VIOLINS,duelling violins,ronan hardiman,2,INTERMEDIO,,,,Maggie Ghallager,,2 muri A A B B A A A
,,135,DARK SIDE,hell if i know,chase bryant,2,BASE,,,,Pol F. Ryan,Lourdes Martin Marta Steve Borras Neus Lloveras Silvana,16 conteggi 4 muri
,,136,DAWNING,new day dawning,wynonna judd,2,AVANZATO 2,,,,Daniel Trepat,,32 conteggi 2 muri
,,137,DAY JOB,day job,gord bamford,4,ALTRE COREO
,,138,DEAR LIFE,dear life,high valley,4,INTERMEDIO,,,,Stefano Civa,,32 conteggi 2 muri [2 Tag di 4 counts (1°tag al 5° muro dopo 8 counts) (2°tag alla fine dell' 8 muro)]
,,139,DEVIL'S SIDE,bad side,moonlight social,2,ALTRE COREO
,,140,DIANE,diane,cam,4,ALTRE COREO
,,141,DIG YOUR HEELS,here's to & I,the mc clymons,2,ALTRE COREO,,,,Maddison Glover,,52 conteggi 4 muri coreografia frasata
,,142,DIM THE LIGHT,the kind of love we make,luke combos,2,SUPER AVANZATO 3,,,,Maddison Glover,Simon Ward,48 conteggi 4 muri restart al 3°muro dopo 16 counts
,,143,DING DANG DARN IT,din dang darn it,ken domash,2,ALTRE COREO
