Informazioni cronologiche,"Se vuoi, dimmi il tuo NOME",TIPOLOGIA,LINE DANCE,CONTRA DANCE,COUPLE/CIRCLE DANCE,COREOGRAFO,David Villelas,Fabio Terzoni,Gianni Hook Valassi,Isabella Ghinolfi,Johnny Rossato,Pino Piromalli,Pol F. Ryan,Teo Lattanzio,Stefano Civa,Aurora Profumo,Algaly Fofana,Adriano Castagnoli,Valentina Trigila,Sofia Balzano,Deborah Ricagni,Jgor Pasin,Dan Albro,Fabian Muller,Maddison Glover,Maggie Ghallager,Rob Fowler,Séverine Fillion,Silvia Denise Staiti,Alessandro Boer,Coreo 0 - 9,Coreo A - F,Coreo G - M,Coreo N - Z
27/08/2026 21.05.11,,Coreo G - M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOVE POTION 666,
27/08/2026 21.06.16,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRING DOWN THE HOUSE,,
27/08/2026 21.09.42,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BURNING LOVE,,
27/08/2026 21.31.25,,Line dance (elenco completo),GIVES ME SHIVERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 21.39.16,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVIL'S SIDE,,
27/08/2026 21.44.58,Graziano,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOOTLOOSE,,
27/08/2026 21.55.39,,Line dance (elenco completo),CHEERLEADER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 21.56.48,Lucrezia,Line dance (elenco completo),TIPPIN' IT UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 21.58.23,Giorgia,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANCING VIOLINS,,
27/08/2026 22.01.02,Graziano,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASANOVA COWBOY,,
27/08/2026 22.13.23,,Coreografo (per nome coreografo),,,,Johnny Rossato,,,,,KINGDOM OF FEAR,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 22.19.27,,Line dance (elenco completo),P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 22.20.06,Giovanna,Contra dance (elenco completo),,LINDI SHUFFLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 22.20.24,,Line dance (elenco completo),MAN ON A MISSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 22.34.08,Giulia,Line dance (elenco completo),CHEEK TO CHEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 22.42.15,Lucrezia,Line dance (elenco completo),HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 22.54.11,,Coreo G - M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAST MINUTE,
27/08/2026 22.54.43,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVIL'S SIDE,,
27/08/2026 22.55.44,,Coreo N - Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOUR IN MEXICO
27/08/2026 22.56.31,Graziano,Line dance (elenco completo),SETTLE DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 22.57.52,Graziano,Line dance (elenco completo),TIPPIN' IT UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 23.10.59,,Coreo N - Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUMBER 7
27/08/2026 23.11.26,,Coreo G - M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN ON A MISSION,
27/08/2026 23.15.01,,Line dance (elenco completo),MY CINDERELLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 23.16.08,DAI METTILA GRAZIEE,Line dance (elenco completo),CHEEK TO CHEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 23.17.18,TI PREGOO,Line dance (elenco completo),SETTLE DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
