value,,,,
Acciaio,,,,
Legno grezzo (assi inchiodate),,,,
legno (pannello armatura giallo),,,,
Legno Parquet,,,,
Legno Massiccio,,,,
Legno trattato,,,,
Tappeto o Pavimento in PVC/Vinilico,,,,
Resina Continua,,,,
Pedane ad Incastro,,,,
Piastrelle ad Incastro,,,,
Cemento Liscio,,,,
Cemento Ruvido,,,,
Asfalto grana fine,,,,
Asfalto grana grossa,,,,
Porfido,,,,
Pave,,,,
Erba,,,,
Erba sintetica,,,,
Terra,,,,
Terra battuta,,,,
Ghiaia,,,,
Ciotolato (sassoso),,,,
Sabbia,,,,
