"rootPath","scannedAt","relativePath","fileName","baseName","fullPath","extension","size","modifiedAt"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CHEYENNE) Old Town Road.mp3","(CHEYENNE) Old Town Road.mp3","(CHEYENNE) Old Town Road","C:\VSC_MP3\(CHEYENNE) Old Town Road.mp3",".mp3","3775758","2026-08-25T11:41:56.634Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CHEYENNE) Shania Twain-I_m gonna getcha good.mp3","(CHEYENNE) Shania Twain-I_m gonna getcha good.mp3","(CHEYENNE) Shania Twain-I_m gonna getcha good","C:\VSC_MP3\(CHEYENNE) Shania Twain-I_m gonna getcha good.mp3",".mp3","5486979","2026-08-25T11:41:56.671Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CHEYENNE) Tutta L_Italia.mp3","(CHEYENNE) Tutta L_Italia.mp3","(CHEYENNE) Tutta L_Italia","C:\VSC_MP3\(CHEYENNE) Tutta L_Italia.mp3",".mp3","4250978","2026-08-25T11:41:56.702Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(COPPERHEAD ROAD) Copperhead Road -Steve Earle.mp3","(COPPERHEAD ROAD) Copperhead Road -Steve Earle.mp3","(COPPERHEAD ROAD) Copperhead Road -Steve Earle","C:\VSC_MP3\(COPPERHEAD ROAD) Copperhead Road -Steve Earle.mp3",".mp3","6541791","2026-08-25T11:41:56.822Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(COUNTRY AS CAN BE) Country As a Boy Can Be.mp3","(COUNTRY AS CAN BE) Country As a Boy Can Be.mp3","(COUNTRY AS CAN BE) Country As a Boy Can Be","C:\VSC_MP3\(COUNTRY AS CAN BE) Country As a Boy Can Be.mp3",".mp3","5199143","2026-08-25T11:41:56.859Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(COWBOY CASANOVA-URBAN LIFE)- Nickelback - Gotta Be Somebody 2.mp3","(COWBOY CASANOVA-URBAN LIFE)- Nickelback - Gotta Be Somebody 2.mp3","(COWBOY CASANOVA-URBAN LIFE)- Nickelback - Gotta Be Somebody 2","C:\VSC_MP3\(COWBOY CASANOVA-URBAN LIFE)- Nickelback - Gotta Be Somebody 2.mp3",".mp3","6107236","2026-08-25T11:41:56.903Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(COWBOY STRUT- COUNTRY AS CAN BE) - Christmas (Baby Please Come Home).mp3","(COWBOY STRUT- COUNTRY AS CAN BE) - Christmas (Baby Please Come Home).mp3","(COWBOY STRUT- COUNTRY AS CAN BE) - Christmas (Baby Please Come Home)","C:\VSC_MP3\(COWBOY STRUT- COUNTRY AS CAN BE) - Christmas (Baby Please Come Home).mp3",".mp3","7734515","2026-08-25T11:41:56.953Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CRASH AND BURN) Crash and Burn.mp3","(CRASH AND BURN) Crash and Burn.mp3","(CRASH AND BURN) Crash and Burn","C:\VSC_MP3\(CRASH AND BURN) Crash and Burn.mp3",".mp3","4630903","2026-08-25T11:41:56.985Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CUT AND STRUT) Suds In the Bucket.mp3","(CUT AND STRUT) Suds In the Bucket.mp3","(CUT AND STRUT) Suds In the Bucket","C:\VSC_MP3\(CUT AND STRUT) Suds In the Bucket.mp3",".mp3","5534071","2026-08-25T11:41:57.023Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(DARK SIDE) Hell if i know - Chase Bryant 1.mp3","(DARK SIDE) Hell if i know - Chase Bryant 1.mp3","(DARK SIDE) Hell if i know - Chase Bryant 1","C:\VSC_MP3\(DARK SIDE) Hell if i know - Chase Bryant 1.mp3",".mp3","4734119","2026-08-25T11:41:57.056Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(ELECTRIC SLIDE) Nathan Carter-12.Let me be There.mp3","(ELECTRIC SLIDE) Nathan Carter-12.Let me be There.mp3","(ELECTRIC SLIDE) Nathan Carter-12.Let me be There","C:\VSC_MP3\(ELECTRIC SLIDE) Nathan Carter-12.Let me be There.mp3",".mp3","5256425","2026-08-25T11:41:57.094Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(ELECTRIC SLIDE) rascal_flatts-jingle_bell_rock copia.mp3","(ELECTRIC SLIDE) rascal_flatts-jingle_bell_rock copia.mp3","(ELECTRIC SLIDE) rascal_flatts-jingle_bell_rock copia","C:\VSC_MP3\(ELECTRIC SLIDE) rascal_flatts-jingle_bell_rock copia.mp3",".mp3","5028217","2026-08-25T11:41:57.129Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(FIRST STOMP) Rednex- Cotton Eye Joe .mp3","(FIRST STOMP) Rednex- Cotton Eye Joe .mp3","(FIRST STOMP) Rednex- Cotton Eye Joe ","C:\VSC_MP3\(FIRST STOMP) Rednex- Cotton Eye Joe .mp3",".mp3","4722770","2026-08-25T11:41:57.164Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(GHOST  TOWN) Sam Outlaw.mp3","(GHOST  TOWN) Sam Outlaw.mp3","(GHOST  TOWN) Sam Outlaw","C:\VSC_MP3\(GHOST  TOWN) Sam Outlaw.mp3",".mp3","4898473","2026-08-25T11:41:57.224Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(GLASS OF WINE) Cry To Me.mp3","(GLASS OF WINE) Cry To Me.mp3","(GLASS OF WINE) Cry To Me","C:\VSC_MP3\(GLASS OF WINE) Cry To Me.mp3",".mp3","5040294","2026-08-25T11:41:57.260Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(IRISH CHANGE- CHAPPELLOISE) Sham Rock-Tell Me Ma .mp3","(IRISH CHANGE- CHAPPELLOISE) Sham Rock-Tell Me Ma .mp3","(IRISH CHANGE- CHAPPELLOISE) Sham Rock-Tell Me Ma ","C:\VSC_MP3\(IRISH CHANGE- CHAPPELLOISE) Sham Rock-Tell Me Ma .mp3",".mp3","5826057","2026-08-25T11:41:57.303Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(IRISH STEW) American Land.mp3","(IRISH STEW) American Land.mp3","(IRISH STEW) American Land","C:\VSC_MP3\(IRISH STEW) American Land.mp3",".mp3","6520287","2026-08-25T11:41:57.353Z"
