Colonna 1;Colonna 2;ID;coreografia;brano;autore;richieste;info livello;info coreo 1;info coreo 2;studiate;coreografo;collaboratori;descrizione coreo
;;229;IRISH STEW;cowboy's sweetheart;leann rimes;;BASE;;;STUDIATA;Lois Lightfoot;;32 conteggi 4 muri
;;230;IRISH STEW;irish stew;sham rock;;BASE;;;STUDIATA;Lois Lightfoot;;32 conteggi 4 muri
;;231;IRISH STEW;the merry christmas polka;jim reeves;;BASE;NATALIZIA;;STUDIATA;Lois Lightfoot;;32 conteggi 4 muri
;;232;ISLANDS IN THE STREAM;islands in the stream;dolly parton;;ALTRE COREO;COPPIA;;;;;
;;233;IT HAPPENS;it happens;sugarland;;SUPER AVANZATO 3;;;RECENTE;;;
;;234;IT'S ALRIGHT;it's alright to be a redneck;alan jackson;;ALTRE COREO;;;;;;
;;235;IT'S AMERICA;it's america;rodney atkins;;INTERMEDIO;;;STUDIATA;Gaye Teather;;32 conteggi 4 muri
;;236;IT'S EASY;you lied to me;wynonna judd;;ALTRE COREO;;;;;;
;;237;ITALIAN LINE DANCE;italian line dance crowd;george mc anthony;;ALTRE COREO;;;;Jgor Pasin;;
;;238;JACK DANIEL'S;favorite state of mind;josh gracin;;SUPER AVANZATO 1+2;;;;;;
;;239;JACKET JOE;trapper jacket joe;george mc anthony;;AVANZATO 1;;;;Esther & José;;32 conteggi 4 muri 5Tag 1restart
;;240;JR;all you need is me;joey + rory;;ALTRE COREO;;;;;;
;;241;JUMPING JAMBOREE;dephine;ranchhands;;ALTRE COREO;;;;;;
;;242;JUST A GIRL;just a girl;lady antebellum;;AVANZATO 2;;;;Séverine Fillion;Arnaud Marraffa;32 conteggi 2 muri
;;243;KENTUCKY CLOVER;billy the kid;chris ledoux;;INTERMEDIO;;;RECENTE;Ray Bus;;32 conteggi 4 muri
;;244;KENTUCKY CLOVER;it's not ok;zac brown band;;INTERMEDIO;;;RECENTE;Ray Bus;;32 conteggi 4 muri
;;245;KILL THE SPIDERS;kill the spider;brad paisley;;INTERMEDIO;;;RECENTE;Gaye Teather;;32 conteggi 2 muri
;;246;KINDA LIKE NOW;kinda like now;aaron scherz;;ALTRE COREO;;;;;;
;;247;LALALI;this is not goodbye;jhonny reid;;ALTRE COREO;;;;;;
;;248;LARGER THAN LIFE;larger than life;pinkzebra;;ALTRE COREO;;;;Teo Lattanzio;;
;;249;LAST CALL;shout mountain music;old crow medicine show;;ALTRE COREO;;;;;;
;;250;LAST MINUTE;baptized;daughtry;;ALTRE COREO;;;;;;
;;251;LAY DOWN AND DANCE;baby let's lay down and dance;garth brooks;;ALTRE COREO;;;;;;
;;252;LAY LOW;lay low;josh turner;;ALTRE COREO;;;;;;
;;253;LEAVE IT UP;i'm your man;bon jovi;;ALTRE COREO;;;;Fi Scott & Johnny Two Step;;32 conteggi 4 muri
;;254;LEAVE IT UP;we got it going on;bon jovi;;ALTRE COREO;;;;Fi Scott & Johnny Two Step;;32 conteggi 4 muri
;;255;TIPSY;a bar song (tipsy);shaboozey;;ALTRE COREO;;;;Susan Garnett;;
;;256;LEMON SQUEEZY;good to go;lonis;;SUPER AVANZATO 1+2;;;;Pol F. Ryan;;
;;257;LET'S GET UP;you're gonna get back up;lisa mchugh;;ALTRE COREO;;;;;;
;;258;LIAR;liar;jelly roll;;AVANZATO 2;;;STUDIATA;Stefano Civa;;32 conteggi 2 muri 2 restart
;;259;LIGHTING POLKA;the wind;zac brown band;;ALTRE COREO;;;;;;
;;260;LIKE IT'S CHRISTMAS;like it's christmas;jonas brothers;;ALTRE COREO;NATALIZIA;;;;;
;;261;LINDI SHUFFLE;i need more of you;the bellamy brothers;;BASE;CONTRA;;STUDIATA;Jame Smee;;16 conteggi 2 muri (contra dance)
;;262;LIT;lit;trace adkins;;ALTRE COREO;;;;;;
;;263;LITTLE BIT LATER ON;little bit later on;luke bryan;;ALTRE COREO;;;;;;
;;264;LITTLE BURRITO;my people;james johnston;;ALTRE COREO;;;;;;
;;265;LITTLE WHITE CHURCH;little white church;little big town;;ALTRE COREO;;;;;;
;;266;LONELY DRUM;lonely drum;aaron goodvin;;BASE;;;STUDIATA;Darren Mitchell;;32 conteggi 4 muri
;;267;LONG LONG WAY;long long way;alan jackson;;INTERMEDIO;COPPIA;CERCHIO;STUDIATA;DJ Dan;Wynette MIller;32 conteggi [couple dance]
;;268;LOOKIN' FOR ME;no stone unterned;randy houser;;SUPER AVANZATO 1+2;;;;;;
;;269;LORDY;lordy lordy;brave giant;;AVANZATO 2;;;RECENTE;Teo Lattanzio;;64 conteggi 2 muri
;;270;LOST;lost;hunter brother;;INTERMEDIO;;;STUDIATA;Stefano Civa;;32 conteggi 4 muri (3 restart al 2° 3° e 4° muro dopo 16 conteggi)
;;271;LOST IN ME;wagon wheel;nathan carter;;INTERMEDIO;;;;David Villelas;;64 conteggi 4muri
;;272;LOVE IT;hard not to love it;steve moakler;;ALTRE COREO;;;;;;
;;273;LOVE SOMEONE;love someone;brett eldredge;;ALTRE COREO;;;;Pino Piromalli;;40 conteggi 2 muri
;;274;LOVELINE;how i'll always be;tim mcgraw;;ALTRE COREO;;;;;;
;;275;LUCKY ME;lucky me;randy houser;;SUPER AVANZATO 3;;;STUDIATA;Maddison Glover;;48 conteggi 2 muri (Tag di 16 conteggi alla fine del 2° muro e Tag di 8 conteggi alla fine del 5° muro)
;;276;MAKE YOU MINE;make you mine;high valley;;ALTRE COREO;;;;;;
;;277;ME AND JOHNNY CASH;me and jhonny cash;rainey qualley;;AVANZATO 1;;;RECENTE;Barry Amato;;64 conteggi 4 muri (Tag di 16 conteggi alla fine del 2^ muro) (Tag di 8 conteggi alla fine del 5^ muro)
;;278;MEMORY (Terzoni);slow burn;zac brown band;;ALTRE COREO;;;;Fabio Terzoni;;
;;279;MIDNIGHT TRAIN;midnight train;the washboard union;;ALTRE COREO;;;;;;
;;280;MILKY WAY;anywhere you wanna go;alan doyle;;ALTRE COREO;;;;;;
;;281;MISS OUR DAYS;miss our days;aalwoods;;SUPER AVANZATO 3;;;STUDIATA;Pol F. Ryan;;64 counts 2 muri (restart al 3° 7° e 10° muro) (tag alla fine del 4° e dell' 11° muro)
;;282;MONEY ON YOU;money on you;chad brownlee;;ALTRE COREO;;;;Stefano Civa;;
;;283;MR. FUNKY;hillibillies;hot apple pie;;INTERMEDIO;;;;David Prestor;Andrej Bohnec;48 conteggi 2 muri 3 restart 1 tag/restart
;;284;MR. LONELY;mr lonely;midland;;ALTRE COREO;;;;;;
;;285;MR POLICEMAN;mr. policeman;brad paisley;;AVANZATO 1;;;;Ria Vos;;64 conteggi 2 muri
;;286;MY BLUE JEANS;if you love somebody;kevin sharp;;ALTRE COREO;;;;;;
;;287;MY MARIA;breakin up thing;terri clark;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;288;MY MARIA;crying on a suitcase;casey james;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;289;MY MARIA;me and maxine;sammy kershaw;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;290;MY MARIA;my maria;brooks & dunn;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;291;MY MARIA;need you no;lady antebellum;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;292;MY MARIA;that look;aaron watson;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;293;MY MARIA;tougher than the rest;chris ledoux;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;294;MY MARIA;when your lips are so close;gord bamford;;INTERMEDIO;COPPIA;;STUDIATA;Jgor Pasin;;28 conteggi (couple dance)
;;295;MYSTERIOUS GIRL;99.9% sure;the nashville stars;;ALTRE COREO;;;;;;
;;296;NANCY MULLIGAN;nancy mulligan;ed sheeran;;SUPER AVANZATO 3;;;;;;
;;297;NEVERMIND;las vegas gold;austin whalert;;ALTRE COREO;;;;;;
;;298;NEW TATOO;new tattoo;tim hicks;;ALTRE COREO;;;;;;
;;299;NEW TRUCK;new truck;dylan scott;;ALTRE COREO;;;;Pino Piromalli;;32 conteggi 2 muri

;;300;NIOLON;throwback;homegrown band;;ALTRE COREO;;;;;;
;;301;NO BLAME;blame;james johnston;;AVANZATO 1;;;STUDIATA;Isabella Ghinolfi;Giuseppe Piromalli;32 conteggi 2 muri [restart al 3°muro dopo 16 counts] [bridge di 4 counts al 4° muro dopo 16 counts e si continua dal monterey]
;;302;NO TURNING BACK;dark horse;aaron watson;;ALTRE COREO;;;;;;
;;303;NOTHING BUT YOU;nothing but you;leaving thomas;;ALTRE COREO;;;;Stefano Civa;;
;;304;NOTHING LIKE THIS;ain't seen nothing;paper kings;;ALTRE COREO;;;STUDIATA;Nans Istria;;32 conteggi 2 muri restart al 7° muro dopo 16 conteggi
;;305;OLD STUFF;the old stuff;b thomas;;ALTRE COREO;;;;;;
;;306;ONE MARGARITA;one margarita;luke bryan;;ALTRE COREO;;;;Pino Piromalli;;32 conteggi 2 muri
;;307;ONLY IN AMERICA;only in america;brooks & dunn;;ALTRE COREO;;;;;;
;;308;OPEN HEART COWBOY;little yellow blanket;dean brody;;ALTRE COREO;;;;;;
;;309;OREGON;getaway truck;aaron watson;;AVANZATO 1;;;;Silvia Denise Staiti;;48 conteggi 2 muri
;;310;OUT OF MY MIND;drive out of my mind;kassi ashton;;ALTRE COREO;;;;Teo Lattanzio;;
;;311;OVERRATED;overrated;tim mcgraw;;AVANZATO 1;;;RECENTE;Alessandro Boer;;32 conteggi 2 muri [Tag1 al 2° e 3° muro] [Tag2 al 3° 7° e 10° muro] [Tag 3 al 9° muro] Restart 4° muro dopo 15 counts + 1 tempo di pausa
;;312;P3;take it or break it;wilson fairchild;;BASE;;;STUDIATA;Gabi Ibanez;;32 conteggi 2 Muri (al 5° 13° 16° muro dopo 16 counts restart) (all 8° muro dopo 16 counts ci sono 4 counts di tag e poi restart)
;;313;P8;boys in boots;tania kernaghan;;ALTRE COREO;;;;;;
;;314;PARIS TENNESSEE;paris tennessee;tracy lawrence;;ALTRE COREO;;;;;;
;;315;PATIENT HEART;patient hearts;bekka & billy;;SUPER AVANZATO 3;;;STUDIATA;Michael VeraLobos;;48 conteggi 2 muri (Tag di 16 counts alla fine del terzo sesto e ottavo muro)
;;316;PAY ME MY MONEY DOWN;pay me my money down;bruce springsteen;;AVANZATO 2;CONTRA;;;David Prestor;;64 conteggi 2 muri (2 restart al 5° e 9° muro dopo 24 conteggi) [contra dance]
;;317;PERFECT SUNSET;better off in love;george canyon;;ALTRE COREO;;;;Silvia Denise Staiti;;64 conteggi 2 muri 4 restart
;;318;PETER PAN;when im grow up;the raging idiots;;ALTRE COREO;;;;;;
;;319;PICK A BALE;pick a bale of cotton;riverside;;ALTRE COREO;STAGE;;;;;
;;320;PIZZA AND BEER;dreaming enough to get me by;tony ramey;;SUPER AVANZATO 3;;;;;;
;;321;POP CORN;corn;blake shelton;;ALTRE COREO;;;;;;
;;322;POTA;kentucky;tiziano incani;;ALTRE COREO;;;RECENTE;Gianni Hook Valassi;;
;;323;POWERFULL STUFF;powerfull stuff;rascal flatts;;ALTRE COREO;;;;Jgor Pasin;;
;;324;PRESS REWIND;take it back;jef miles;;ALTRE COREO;;;;Fabian Muller;;32 conteggi 4 muri
;;325;PRETTY MAE;ballad of pretty mae;phill vassar;;ALTRE COREO;;;;Jgor Pasin;;
;;326;PRISCILLA;priscilla;miranda lambert;;ALTRE COREO;;;;;;
;;327;PUDDLE OF LOVE;puddle of love;mason ramsey;;ALTRE COREO;;;;;;
;;328;QUICKLY;working on a tan;brad paisley;;ALTRE COREO;;;;;;
;;329;QUITTER;quitter;carrie underwood;;AVANZATO 1;;;;Maggie Ghallager;;64 conteggi 4 muri (1 restart al 4° muro)
;;330;RADAR LOVE;radar love;the bunch;;ALTRE COREO;;;;;;
;;331;RAISE SOME HELL;raise some hell;dirty river boys;;AVANZATO 2;;;;Stefano Civa;;Star after 16counts Intro32 A16 B16 C32 D32 E64 AA B A B C AA BB C AA D E C AA
;;332;RAMPAMPAM;rampampam;minelli;;ALTRE COREO;;;;;;
;;333;READY FOR IT;this is it;oh the larceny;;ALTRE COREO;;;STUDIATA;;;
;;334;REAL FRIENDS;carry you home;thomas ward;;ALTRE COREO;;;;Johnny Rossato;;56 conteggi 2 muri 1 tag
;;335;RECREATION LAND;recreation land;tristan horncastle;;ALTRE COREO;;;;Teo Lattanzio;;
;;336;RECTO VERSO;something to die for;fiona culley;;AVANZATO 2;;;;Montana Country Show;;64 conteggi 1 muro 2 restart 1 tag
;;337;RED CARPET;shot in the dark;trea landon;;ALTRE COREO;;;;;;
;;338;REDNECK ANGEL;brighter than the sun;colbie cailat;;BASE;;;STUDIATA;Litzenburg & Filiou;;16 conteggi 4 muri
;;339;REDNECK ANGEL;if today was your last day;nickelback;;BASE;;;STUDIATA;Litzenburg & Filiou;;16 conteggi 4 muri
;;340;REDNECK ANGEL;merry go round;the janedear girls;;BASE;;;STUDIATA;Litzenburg & Filiou;;16 conteggi 4 muri
;;341;RESPECT GIRL;don't wanna love him;adley;;ALTRE COREO;;;;;;
;;342;RHINESTONE;rhinestone world;dallas smith;;ALTRE COREO;;;;Pino Piromalli;Valeria Bronco Rider;32 conteggi 2 muri livello intermedio (stile polka)
;;343;RIGHT WAY;if i knew;parker redmond;;ALTRE COREO;;;;;;
;;344;RODEO BLUES;sea of cowboy hats;chely wright;;ALTRE COREO;;;;;;
;;345;ROOTS;roots;zac brown band;;AVANZATO 2;;;STUDIATA;Stefano Civa;;32 conteggi 4 muri
;;346;ROUND TABLE RIVAL;roundtable rival;lindsey stirling;;ALTRE COREO;;;;;;
;;347;RUNAROUND SUE;runaround sue;the overtones;;ALTRE COREO;;;;;;
;;348;SAILOR BOY;sailor boy;george mc anthony;;ALTRE COREO;;;;;;
;;349;SALT LIME & TEQUILA;salt lime & tequila;ryan griffin;;AVANZATO 2;;;;Michelle Wright;;32 conteggi 2 muri
;;350;SCRAPT IT;scrap piece of paper;paul brandt;;ALTRE COREO;;;;;;
;;351;SELFIE & DRINK;in hell i'll be in good company;the dead south;;ALTRE COREO;CONTRA;;;Jgor Pasin;;
;;352;SET ON;drinking all weekend;blakjack billy & tim hicks;;ALTRE COREO;;;;;;
;;353;SETTLE DOWN;settle down;the mc clymons;;AVANZATO 2;;;STUDIATA;Isabelle Gamba;;80 conteggi 4 muri [tag alla fine del 3° e 5° muro] (restart 4°muro dopo 72 counts al 6°muro dopo 32 counts e al 7° muro dopo 64 counts)
;;354;SEVEN;seven drunken nights;mike denver;;AVANZATO 1;;;STUDIATA;Stefano Civa;;Parte A 32 conteggi Parte B 16 [Sequenza AA BB AA BB AA BBBB AA BB AA  BBB ]
;;355;SHAKING GROUND;i'm not going home;jess and the bandits;;ALTRE COREO;;;;;;
;;356;SHHH;standing me up;shannon hynes;;SUPER AVANZATO 1+2;;;;;;
;;357;SHIMMY;thicc as thieves;lauren alaina & lainey wilson;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;358;SHORE THING;shore thing;luke bryan;;ALTRE COREO;;;;;;
;;359;SHORT TIME;chicken pickin;cory hargreaves;;AVANZATO 1;;;;Adriano Castagnoli;;68 conteggi 2 muri 2 Restart 1 Tag
;;360;SHOT OF GLORY;shot of glory;the washboard union;;ALTRE COREO;;;;;;
;;361;SIMPLE;simple;florida georgia line;;ALTRE COREO;;;;;;
;;362;SIMPLE THINGS;simple things;alexander cardinale;;SUPER AVANZATO 1+2;;;;;;
;;363;SINGLE MAN;single man;high valley;;INTERMEDIO;;;;Stefano Civa;;32 conteggi 2 muri 2 restart
;;364;SINNER;sinner;andy grammer;;ALTRE COREO;;;;;;
;;365;SKIFFLE TIME;mama don't alow;the jive aces;;INTERMEDIO;;;STUDIATA;Darren Bailey;;64 conteggi 4 muri
;;366;SNAP TO YOU;snap (high and fast);rosa linn;;SUPER AVANZATO 1+2;;;;;;
;;367;SOLDIER;soldier;high valley;;ALTRE COREO;;;;;;
;;368;SOMEBODY TO YOU;somebody to you;the vamps;;ALTRE COREO;;;;;;
;;369;SOMETHING FINE;something in the water;brooke fraser;;INTERMEDIO;COPPIA;CERCHIO;STUDIATA;Dan Albro;;(couple and circle)
;;370;SOMEWHERE ELSE;somewhere else;toby keith;;ALTRE COREO;;;;;;
;;371;SOMEWHERE IN MY CAR;somewhere in my car;keith urban;;ALTRE COREO;;;;;;
;;372;SOUTH OF SANTA FE;south of santa fe;brooks & dunn;;ALTRE COREO;;;;;;
;;373;STAND OUT;stand out;queeva;;ALTRE COREO;;;;;;
;;374;START THE CAR;farm girl strong;gord bamford;;BASE;;;STUDIATA;Tina Neale;;32 conteggi 4 muri
;;375;START THE CAR;i feel lucky;mary chapin carpenter;;BASE;;;STUDIATA;Tina Neale;;32 conteggi 4 muri
;;376;START THE CAR;kerosene kid;jimmy wayne;;BASE;;;STUDIATA;Tina Neale;;32 conteggi 4 muri
;;377;START THE CAR;limes;brad paisley;;BASE;;;STUDIATA;Tina Neale;;32 conteggi 4 muri
;;378;START THE CAR;start the car;travis tritt;;BASE;;;STUDIATA;Tina Neale;;32 conteggi 4 muri
;;379;STITCH IT UP;elvis medley;the deans brother;;INTERMEDIO;;;STUDIATA;Robbie McGowan Hickie;;64 conteggi 4 muri
;;380;STITCH IT UP;jingle bells;tracy bird;;INTERMEDIO;NATALIZIA;;STUDIATA;Robbie McGowan Hickie;;64 conteggi 4 muri
;;381;STORM AND STONE;run;storm & stone;;AVANZATO 1;;;STUDIATA;Maddison Glover;;32 conteggi [parte A alle ore 12 e 3] [parte B alle ore 6 e 9]
;;382;STORY;story;drake white;;ALTRE COREO;;;;;;
;;383;STRONG BOUNDS;long goodbye;dwight yoakam;;ALTRE COREO;;;;;;
;;384;SUGAR;make it sweet;old dominion;;SUPER AVANZATO 1+2;;;;Sofia Balzano;;
;;385;SUMMER FLY;summer fly;hayley westenra;;ALTRE COREO;;TWO STEP;;;;
;;386;SUNBEAM;sunbeam;jack county;;SUPER AVANZATO 3;;;;;;
;;387;SUNHEART;wildfire and whiskey;tenille arts;;ALTRE COREO;;;;;;
;;388;SUNSET;you belong with me;taylor swift;;AVANZATO 1;;;STUDIATA;C B S LOUJO;;32 conteggi 4 muri
;;389;SWEET ERIKA;small town big time;blake shelton;;ALTRE COREO;;;;;;
;;390;SWEET EYES;don't close your eyes;ritchie remo;;ALTRE COREO;;TWO STEP;;;;
;;391;SWEET PEACHES;georgia peaches;lauren alaina;;ALTRE COREO;;;;;;
;;392;SWINGIN' THING;honey hush;scooter lee;;ALTRE COREO;CERCHIO;;;;;
;;393;T-M;praise of the lord;breland;;ALTRE COREO;;;;;;
;;394;TAG ON;too strong to break;beccy cole;;AVANZATO 1;;;STUDIATA;David Villelas;;64 conteggi 2 muri [restart al 3° muro dopo 24 counts ed al 6° muro dopo 32 counts]
;;395;TAKE ME TO NEW YORK;long live the night;the reklaws;;AVANZATO 1;;;RECENTE;Johnny Rossato;;32 conteggi 4 muri [1 muro Tag1 2 muro 3 muro Tag2 4 muro Tag1 5 muro 6 muro 7 muro Tag1+Tag2 8 muro Tag2 9 muro 10 muro]
;;396;TH-GUEST RANCH;girl with the fishing rod;lisa mchugh;;AVANZATO 2;;;;Jesus Osuna;;64 conteggi 2 muri 4 restart
;;397;THE BEAST;somethin' in the water;the cheap seats;;SUPER AVANZATO 1+2;;;;;;
;;398;THE COUNTRY FEVER;anywhere for you;mackenzie porter;;ALTRE COREO;;;;;;
;;399;THE DIFFERENCE;the difference;carolina jones;;ALTRE COREO;;;;;;
;;400;THE LOVERS;year of the young;smith & thell;;ALTRE COREO;;;;Johnny Rossato;;
;;401;THE STORY;the story of us;taylor swift;;ALTRE COREO;;;;;;
;;402;THE WISH;fall into you;houses on the hill;;AVANZATO 2;;;;Pol F. Ryan;Francesca Penzo;64 conteggi 2 muri 3 restart
;;403;THE WORLD;the world;brad paisley;;AVANZATO 2;;;;Maggie Ghallager;;64 conteggi 4 muri
;;404;THELMA & LOUISE;thelma and louise;anna bergendahl;;AVANZATO 1;;;;Stefano Civa;Johnny Rossato;32 conteggi 2 muri 3tag Intro e Finale
;;405;THERE IS A FIRE;there is a fire;national park radio;;ALTRE COREO;;;;;;
;;406;THINK OF YOU;think of you;chris young;;ALTRE COREO;;;;Pino Piromalli;;32 conteggi 4 muri
;;407;THIS WORLD IS OUR HOME;this world is our home;douwe bob;;AVANZATO 2;;;STUDIATA;Johnny Rossato;Fabian Muller;32 conteggi 2 muri 4 restart (al 1° 2° e 5°  muro dopo 28 conteggi) (al 4° muro dopo 16 conteggi)
;;408;THREE TEACHERS;head over heels;the washboard union;;BASE;;;RECENTE;David Villelas;Araceli Capitan & Montse;32 conteggi 4 muri 2 restart  (dopo il 4° e 11° muro dopo 24 counts) 1 tag (4 conteggi di pausa 11° muro)
;;409;THROWBACK LOVE;throwback love;meghan trainor;;SUPER AVANZATO 3;;;;;;
;;410;TICK TOCK;1 2 mary;brooks & dunn;;ALTRE COREO;;;;;;
;;411;TO BE HONEST;rude;sorbye jennebo;;SUPER AVANZATO 3;;;;Federica Dall'Aglio;;
;;412;2 HELL AND BACK;if you're going through hell;rodney atkins;;INTERMEDIO;;;RECENTE;Rob Fowler;Kate Sala;32 conteggi 2 muri
;;413;TODAY & TOMORROW;country roads;holly spears;;AVANZATO 2;;TWO STEP;;Silvia Denise Staiti;;64 conteggi 1 Tag 1 Restart
;;414;TOES;toes;zac brown band;;INTERMEDIO;;;STUDIATA;Rachael McEnaney;;32 conteggi 4 muri
;;415;TOMORROW NEVER COMES;tomorrow never comes;zac brown band;;AVANZATO 1;;;;Fabio Terzoni;;46 conteggi 2 muri (Parte A 32 counts Parte B 14 counts) Tag 4 counts 2 restart
;;416;TOO MANY DRUNK;i hate you when you're drunk;olly murs;;AVANZATO 2;;;;Sandrine Caracchioli;Chantal Levallois;56 conteggi 4 muri
;;417;TOP OF THE WORLD;on top of the world;tim mcmorris;;ALTRE COREO;;;;Teo Lattanzio;;
;;418;TORNADO;tornado;little big town;;ALTRE COREO;;;;;;
;;419;TOUR IN MEXICO;go to mexico;coffey anderson;;AVANZATO 1;;;STUDIATA;Adriano Castagnoli;;52 conteggi 2 muri [Parte A 32 counts Parte B 20 counts] Sequenza (2 volte A 1 Volta B) (4 volte A 1 volta B) (3 volte A 1 volta B) (3 volte A 1 volta B) 
;;420;TRAIN;train;manny blu;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;421;TRAKTOR'S BELL;she cranks me traktor;dustin lynch;;ALTRE COREO;;;;;;
;;422;TRAMPOLINE;trampoline;the unlikely candidates;;ALTRE COREO;;;;;;
;;423;TRESPASSING;trespassing;adam lambert;;ALTRE COREO;;;;;;
;;424;TRILOGY;old dirt roads;owen riegling;;SUPER AVANZATO 1+2;;;STUDIATA;Jgor Pasin;;
;;425;TRIPLE L;live laugh and love;lonestar;;SUPER AVANZATO 3;;;STUDIATA;Jeremie Tridon;Brigitte Zerah Audrey Gendre;72 conteggi 1 Tag (dopo 16 conteggi)
;;426;TUSH PUSH;don't know why i do it;mark chesnutt;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;427;TUSH PUSH;honky tonk twist;scooter lee;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;428;TUSH PUSH;santa looked a lot like daddy;brad paisley;;BASE;CERCHIO;NATALIZIA;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;429;TUSH PUSH;splish splash;scooter lee;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;430;TUSH PUSH;t r o u b l e;travis tritt;;BASE;CERCHIO;;STUDIATA;Jim Ferrazzano;;40 conteggi 4 muri
;;431;TWO WAYS;we didn't have much;justin moore;;ALTRE COREO;;;;;;
;;432;UNTAMED;untamed;cam;;AVANZATO 1;;;STUDIATA;Alessandro Boer;;32 conteggi 4 muri (Tag1 al 2^ muro dopo 20 counts) (Tag2 al 6^ muro dopo 20 counts) (Tag3 al 9^ muro dopo 16 counts) [Restart al 4^ muro dopo 8 conteggi]


;;433;URBAN LIFE;better life;keith urban;;BASE;CONTRA;;STUDIATA;A T  Joven;;32 conteggi 2 muri [contra dance]
;;434;URBAN LIFE;gotta be somebody;nickelback;;BASE;CONTRA;;STUDIATA;A T  Joven;;32 conteggi 2 muri [contra dance]
;;435;URBAN LIFE;gotta be somebody;bucky covington;;BASE;CONTRA;;STUDIATA;A T  Joven;;32 conteggi 2 muri [contra dance]
;;436;VODKA TIME;vodka time;urban trad;;ALTRE COREO;;;;;;
;;437;WACKY;cut loose;blue broussard band;;ALTRE COREO;;;;;;
;;438;WAHO WAHO YEAH YEAH;if that ain't love;jaida dreyer;;ALTRE COREO;;;;;;
;;439;WALKIN' THE LINE;4th of july;shooter jennings;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;440;WALKIN' THE LINE;breathless;the corrs;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;441;WALKIN' THE LINE;crazy;alee;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;442;WALKIN' THE LINE;walk the line;dave sheriff;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;443;WALKIN' THE LINE;wild angels;martina mcbride;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;444;WANNA GETCHA;getcha;matt lang;;ALTRE COREO;;;;;;
;;445;WANNA GO;if it gets you where you wanna go;dallas smith;;ALTRE COREO;;;;;;
;;446;WE ARE TONIGHT;we are tonight;billy currington;;INTERMEDIO;;;STUDIATA;Dan Albro;;32 conteggi 4 muri
;;447;WE DANCED;dirt on my boots;jon pardi;;ALTRE COREO;COPPIA;CERCHIO;;;;
;;448;WE WENT;we went;randy houser;;BASE;;;RECENTE;Kristina Kovatch;;24 conteggi 4 muri
;;449;WESTERN SHOW;young love & saturday nights;chris young;;SUPER AVANZATO 1+2;;;;Pol F. Ryan;Algaly Fofana Johnny Rossato;
;;450;WESTERN STYLE;can't get myself over getting over you;the woolpackers;;BASE;COPPIA;CERCHIO;RECENTE;;;(couple and circle)
;;451;WESTERN STYLE;louisiana;the woolpackers;;BASE;COPPIA;CERCHIO;RECENTE;;;(couple and circle)
;;452;WESTERN STYLE;no one needs to know;shania twain;;BASE;COPPIA;CERCHIO;RECENTE;;;(couple and circle)
;;453;WESTERN STYLE;tell me why;wynonna judd;;BASE;COPPIA;CERCHIO;RECENTE;;;(couple and circle)
;;454;WHAT DO I KNOW;what do i know;ricochet;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;455;WHEN YOU SMILE;when you smile;rune rudberg;;ALTRE COREO;;;;;;
;;456;WHISKEY WHISKEY;1 2 3 4 ;alan doyle;;ALTRE COREO;STAGE;;;;;
;;457;WHISKEY WIGGLE;every little thing;carlene carter;;INTERMEDIO;COPPIA;CERCHIO;STUDIATA;Joyce Warren;;48 conteggi [coppia cerchio]
;;458;WHITE SOLDIER;when i'm gone;the wild horses;;INTERMEDIO;;;RECENTE;Pol F. Ryan;Johnny Rossato;32 conteggi 2 muri (1°tag di 16 counts alla fine del 3 muro) (2°tag di 8 counts alla fine del 7 muro)
;;459;WILD AT HEART;wild at heart;gloriana;;ALTRE COREO;;;;;;
;;460;WILD NIGHTS;wild night;martina mcbride;;INTERMEDIO;;;RECENTE;Dan Albro;;64 conteggi 4 muri
;;461;WILLIWAW;one of a kind;nasco brothers;;ALTRE COREO;;;;Pol F. Ryan;;
